"UID","PID","title","speaker","date","categories","text","keyword_binary","relevance","sentiment","confidence","notes"
1137,"1137_1","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","U.S. Military Assistance for Turkey",0,"-","-","-","-"
1137,"1137_2","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","Q. During your first term, administration officials emphasized in congressional hearings time after time that military aid to Turkey is insufficient to modernize her ancient armed forces. Two questions: Do you think Turkey is fit to fulfill her NATO duties under these circumstances? Since administration requests have always been cut by Congress, do you intend to increase aid to Turkey?",1,"-","-","-","-"
1137,"1137_3","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","The President. The United States is committed to help Turkey modernize its armed forces as quickly as possible. We are doing our best to help ensure that a key ally has a strong defense.",0,"-","-","-","-"
1137,"1137_4","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","In order to do this, we have more than tripled military assistance to Turkey since 1980. Last year Congress approved $700 million in military assistance. This year, recognizing the continuing need, I have requested Congress to approve nearly $800 million in military assistance, of which over 73 percent is either grant or on concessional terms.",0,"-","-","-","-"
1137,"1137_5","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","Conflict in Cyprus",0,"-","-","-","-"
1137,"1137_6","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","Q. What is your evaluation of Greek and Turkish attitudes during the last summit on Cyprus?",0,"-","-","-","-"
1137,"1137_7","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","The President. As we said in January, the United States regrets the failure of the summit meeting between the leaders of the two Cypriot communities. We believe, however, that the pursuit of a negotiated political solution in Cyprus must continue and that the Cypriot parties themselves hold the key to their own future. We continue to support the Secretary-General's role under his Security Council mandate and for our part have encouraged all parties to this dispute to be flexible and forthcoming.",0,"-","-","-","-"
1137,"1137_8","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","Q. Are you optimistic about a peaceful solution?",0,"-","-","-","-"
1137,"1137_9","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","The President. As I said, we are still hopeful the Cypriot parties can find the will to move forward, under the guidance of the Secretary-General, to find a peaceful and lasting solution to the Cyprus question.",0,"-","-","-","-"
1137,"1137_10","Written Responses to Questions Submitted by Hurriyet of Turkey","Ronald Reagan","March 29, 1985","Miscellaneous, Miscellaneous Written, Presidential","U.S. Military Bases in Greece",0,"-","-","-","-"
