UID,PID,title,speaker,date,categories,text,keyword_binary,relevance_1,sentiment_1,confidence_1,notes_1,relevance_2,sentiment_2,confidence_2,notes_2
77,77_1,"Letter to Committee Chairmen on Determining To Increase Defense Assistance to France, Greece, Turkey, the United Kingdom, and Yugoslavia.",Harry S. Truman,"February 05, 1952","Letters, Presidential",My dear Mr. Chairman:,0,-,-,-,-,0,-,H,-
77,77_2,"Letter to Committee Chairmen on Determining To Increase Defense Assistance to France, Greece, Turkey, the United Kingdom, and Yugoslavia.",Harry S. Truman,"February 05, 1952","Letters, Presidential","It has become clear during the past two months that additional resources must be made available to France, Greece, Turkey, the United Kingdom and Yugoslavia during this fiscal year to permit them to meet their present and projected defense plans. Each of these countries is an important part of the defense plans of the free world; France and the United Kingdom are joined with the other countries of NATO in a common defense plan with a common strategy under the supreme commands set up by the NATO, Greece and Turkey possess military forces that have been built up and equipped with United States assistance over several years and will shortly become members of NATO, Yugoslavia occupies a vital strategic position on the flank of Western European defense. It is in the interest of our national defense and our mutual security with the other nations of the free world that the defense programs of those countries should be carried out.",1,0,-,H,Pressuring the U.S. to contribute more,0,-,H,"Mentions NATO, but in the context of European security policy not contributions"
77,77_3,"Letter to Committee Chairmen on Determining To Increase Defense Assistance to France, Greece, Turkey, the United Kingdom, and Yugoslavia.",Harry S. Truman,"February 05, 1952","Letters, Presidential","I have therefore determined, pursuant to the provisions of Section 101(b) of the Mutual Security Act of 1951, that it is necessary for the purpose of that Act to transfer $478,160,000 from the appropriations granted pursuant to Section 101(a)(1) thereof for military assistance to Europe, to the appropriations granted pursuant to Section 101(a)(2) thereof for economic assistance to Europe. I am satisfied that this transfer of funds will in fact contribute more to military strength in Europe than if the same funds were to be used to procure military end-items for delivery to the countries concerned. The military effort on the part of these countries which will be made possible by this transfer will be considerably larger than the amount of funds transferred.",0,-,-,-,-,0,-,H,-
77,77_4,"Letter to Committee Chairmen on Determining To Increase Defense Assistance to France, Greece, Turkey, the United Kingdom, and Yugoslavia.",Harry S. Truman,"February 05, 1952","Letters, Presidential","Of the amount so transferred, $300,000,000 will be allotted to the United Kingdom for the importation of commodities essential to the maintenance of the defense effort of the United Kingdom as set forth in Mr. Harriman's letter to you of January 28, 1952; $100,000,000 will be allotted to France under the terms of the understanding reached with the french Government last November as reported to you in a letter from the Office of the Director for Mutual Security dated December 11, 1951, with the counterpart funds accruing from such assistance to be used by the french Government for procurement of supplies for the campaign in Indochina; and the remainder will be allotted to Greece, Turkey, and Yugoslavia, to assist those countries in carrying out the defense programs discussed between their governments and the Government of the United States.",0,-,-,-,-,0,-,H,-
77,77_5,"Letter to Committee Chairmen on Determining To Increase Defense Assistance to France, Greece, Turkey, the United Kingdom, and Yugoslavia.",Harry S. Truman,"February 05, 1952","Letters, Presidential","I have made this determination upon the recommendation of the Director for Mutual Security with the concurrence of the Secretary of State, the Secretary of the Treasury, and the Secretary of Defense.",0,-,-,-,-,0,-,H,-
77,77_6,"Letter to Committee Chairmen on Determining To Increase Defense Assistance to France, Greece, Turkey, the United Kingdom, and Yugoslavia.",Harry S. Truman,"February 05, 1952","Letters, Presidential",This letter is intended to constitute the notification to your Committee required by Section 101(b) of the Mutual Security Act of 1951.,0,-,-,-,-,0,-,H,-
77,77_7,"Letter to Committee Chairmen on Determining To Increase Defense Assistance to France, Greece, Turkey, the United Kingdom, and Yugoslavia.",Harry S. Truman,"February 05, 1952","Letters, Presidential",I am enclosing for the information of your Committee the recommendation I received From the Director for Mutual Security.,0,-,-,-,-,0,-,H,-
77,77_8,"Letter to Committee Chairmen on Determining To Increase Defense Assistance to France, Greece, Turkey, the United Kingdom, and Yugoslavia.",Harry S. Truman,"February 05, 1952","Letters, Presidential","Sincerely,",0,-,-,-,-,0,-,H,-
77,77_9,"Letter to Committee Chairmen on Determining To Increase Defense Assistance to France, Greece, Turkey, the United Kingdom, and Yugoslavia.",Harry S. Truman,"February 05, 1952","Letters, Presidential",HARRY S. TRUMAN,0,-,-,-,-,0,-,H,-
108,108_1,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","[I.] BROCKTON, MASSACHUSETTS (Platform on Legion Parkway, 8:18 a.m.)",0,-,-,-,-,NP,-,-,-
108,108_2,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","I am happy to be here this morning in this city which is famous for its shoes, and for its great boxing champion, Rocky Marciano. I imagine that if you were to have your """"druthers"""" as we say in Missouri, you would much rather see Marciano than to be listening to the President make a speech.",0,-,-,-,-,0,-,H,-
108,108_3,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","This reception at this time of day, however, is a real knockout. And this makes me feel that we are going to knock out the Republicans just as we did in 1948.",0,-,-,-,-,0,-,H,-
108,108_4,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","You have some fine candidates running on the Democratic ticket this year, and if you want to vote for yourselves and the interests of your great State, you will vote for David Crowley for Congress, Jack Kennedy for the Senate--he has already made a record in the Congress; and of course you are going to reelect my good friend Paul Dever for Governor for another 4 years.",0,-,-,-,-,0,-,H,-
108,108_5,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","Now believe it or not, I am not running for office this year, even though I almost feel like it from the wonderful way you treat me up here in this great State of Massachusetts.",0,-,-,-,-,0,-,H,-
108,108_6,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","When I leave the White House next January, I want to see the people of the United States have a President who will fight for their interests, as I have fought for your interests for the last 7 years. I want to see this country--the greatest Republic on the face of the earth--move forward towards greater prosperity, and towards peace in the world.",0,-,-,-,-,0,-,H,-
108,108_7,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","This year I am campaigning so hard because I believe in my heart that the best way to secure peace in the world, and prosperity at home, is to elect Adlai Stevenson and John Sparkman. Stevenson and Sparkman will fight for your interests, and they are backed up by a political party that has always stood for the welfare of all the people.",0,-,-,-,-,0,-,H,-
108,108_8,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","The Republican candidate made a speech up in New Jersey the other day, in which he said it was sheer bunk to say that the Republicans would abandon the great social advances we have made. But the General's own party has a long record of fighting tooth and nail against everything the New Deal and the fair Deal have done for the American people.",0,-,-,-,-,0,-,H,-
108,108_9,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","Take the minimum wage laws, for example. Back in 1937, when franklin Roosevelt proposed a minimum wage law, the Republicans in Congress squealed like stuck pigs when that law went through.",0,-,-,-,-,0,-,H,-
108,108_10,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","Listen to what Republican Congressman John Taber said about the minimum wage law: """"You are paving the way for the absolute enslavement of labor."""" Now that is a Republican viewpoint on the minimum wage law. That comes from the man who will be chairman of the powerful Appropriations Committee if the Republicans get control of the Congress.",0,-,-,-,-,0,-,H,-
108,108_11,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","Listen to what the coauthor of the Taft-Hartley Act, former Representative Fred Hartley, said about the minimum wage law, and I quote him directly: """"Pass this bill,"""" he said, """"and gone with the wind is local self-government and the sovereignty of the States. Gone with the wind is our democratic system of government, and all the institutions we hold dear.""""",0,-,-,-,-,0,-,H,-
108,108_12,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","Well, my friends, gone with the wind is Representative Hartley. He is no longer in Congress--but his kind of thinking still dominates the Republican Party. So don't believe this campaign of hooey that the Republicans give you at every election.",0,-,-,-,-,0,-,H,-
108,108_13,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential",All I want you to do is just look at the record. Look at the record--then make up your mind in your own interests.,0,-,-,-,-,0,-,H,-
108,108_14,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential",The Republican record is made by their votes in the Congress over the past 10 years. The record of the Democrats is made in the Congress during the past 10 years by their votes.,0,-,-,-,-,0,-,H,-
108,108_15,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","No matter what they say in an election year, what I want you to do is to read the record--and if you do that, you will go down to the polls on election day and you will vote in your own interests.",0,-,-,-,-,0,-,H,-
108,108_16,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","Use your heads this time. Do a little thinking. That is the only reason I am out doing what I am doing. I could sit in the White House and transact the business of the Government--which I have to transact on the train, anyway--and probably not have so much to do. But I think you ought to know what the facts are, and you can't get the facts unless somebody who knows what they are tells you about them.",0,-,-,-,-,0,-,H,-
108,108_17,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","If you will study those facts, you will go home and think about this situation, and then you will vote for the welfare of the greatest Republic in the history of the world, you will vote for your own welfare, and you will vote for the welfare of the free world.",0,-,-,-,-,0,-,H,-
108,108_18,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","And if you do that, Adlai Stevenson will spend the next 4 years in the White House-and the country will be safe for you.",0,-,-,-,-,0,-,H,-
108,108_19,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","[2.] TAUNTON, MASSACHUSETTS (Taunton Green, 9:10 a.m.)",0,-,-,-,-,NP,-,-,-
108,108_20,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","I can't tell you how much I appreciate this wonderful reception, and I want to thank the schoolchildren who got that sign up. That is what I need. I remember my very pleasant visit here 4 years ago. This time I am not campaigning for myself. In case you don't know it, I am not running for office. I am out on another errand. I am trying to show to the Democratic Party--which has given me all the honor any man can have in this great Republic--that I am grateful; and I am out trying to get the people to understand just exactly what the issues are-because the Republicans won't talk issues.",0,-,-,-,-,0,-,H,-
108,108_21,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","You have in this great State a wonderful list of candidates for election. You have a young man running for the Senate who has had experience in the House of Representatives. He has a fine record in the House, and if you elect him to the Senate, you will be well represented in that great deliberative body in which I spent 10 years. You have a candidate for Congress, Edward Doolan, whom you ought to send to Congress this time. Now these Republicans are always screaming for a change. I certainly think this district needs a change in representation in the Congress.",0,-,-,-,-,0,-,H,-
108,108_22,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","I know you are going to elect my good friend Paul Dever for Governor, because he has made a good Governor over the last 4 years.",0,-,-,-,-,0,-,H,-
108,108_23,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","The most important thing that you have for consideration at this time is the filling of the Office of the President of the United States. We have the most capable candidate and the best young man running for that office that we have had since franklin Roosevelt--Adlai Stevenson. And I want you to vote for him. He has made an outstanding record as Governor of Illinois. He has served extremely well in a number of important jobs in Washington. He thoroughly understands the complex problems of civilian government, and he will make a great President.",0,-,-,-,-,0,-,H,-
108,108_24,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","John Sparkman, our candidate for Vice President, has shown by his record of 15 years' service in the House and the Senate that he can be trusted to continue to work for all the people in the great Democratic traditions.",0,-,-,-,-,0,-,H,-
108,108_25,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","You know, every election year the Republicans start complaining that the Democrats are always running against Herbert Hoover. I don't blame the Republicans for wanting to forget what happened to this country under the Hoover administration, but I can't resist telling you about the latest bit of Republican history that has come to my attention.",0,-,-,-,-,0,-,H,-
108,108_26,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","Mr. Hoover has published his autobiography, and in the latest volume, on page 195, he tells about the apple-selling that went on during the great depression of his administration.",0,-,-,-,-,0,-,H,-
108,108_27,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","Now listen--according to Mr. Hoover, people weren't selling apples because they were broke and jobless--not at all. They were selling apples because the apple business was booming. He says that some apple growers' association got the bright idea--I am quoting out of his book--now this is what he says, """"... and set up a system of selling apples on the street corners in many cities, thus selling their crop and raising their prices. Many persons left their jobs for the more profitable one of selling apples."""" And there were only 14 million people out of jobs at that time !",0,-,-,-,-,0,-,H,-
108,108_28,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","You see, those apple-sellers were just coining money. I wonder if anybody really believes that, and wants to go back to those good old days ?",0,-,-,-,-,0,-,H,-
108,108_29,"Rear Platform and Other Informal Remarks in Massachusetts, Rhode Island, Connecticut, and New York.",Harry S. Truman,"October 18, 1952","Miscellaneous, Miscellaneous Remarks, Presidential","The Republicans haven't learned much since those terrible times. They still vote against almost every program that worked in the interest of all the people. And then when an election rolls around, they do everything they can to make the people forget the' reactionary Republican record.",0,-,-,-,-,0,-,H,-
